Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-APR-2024,47391.05,47646.8,47373.1,47578.25,134089417,6573
02-APR-2024,47490.75,47707.35,47408.55,47545.45,183398624,10412.26
03-APR-2024,47350.25,47676.95,47279.8,47624.25,283779413,13792.53
04-APR-2024,48086.2,48254.65,47712.7,48060.8,324271925,18895.59
05-APR-2024,48104.65,48557.4,47894.5,48493.05,214305236,11909.32
08-APR-2024,48586.75,48716.95,48424.65,48581.7,263381555,7900.46
09-APR-2024,48810.8,48960.75,48568.25,48730.55,147583296,7024.79
10-APR-2024,48879.55,49057.4,48669.25,48986.6,247065747,9611.82
12-APR-2024,48671.2,48882.65,48477.55,48564.55,207985339,10643.84
15-APR-2024,48057.5,48255.5,47725.8,47773.25,197115142,7882.76
16-APR-2024,47436.7,47609,47316.55,47484.8,186069576,7841.45
18-APR-2024,47592.7,47829.75,46982.15,47069.45,186371057,10326.12
19-APR-2024,46744.95,47668.7,46579.05,47574.15,164580371,9513.25
22-APR-2024,48145.7,48146.3,47628.45,47924.9,177719481,9898.66
23-APR-2024,48299.6,48302.7,47899.3,47970.45,141110604,7677.26
24-APR-2024,48120.9,48246.2,48028.7,48189,112159300,5867.57
25-APR-2024,47772.65,48625.45,47737.2,48494.95,337412581,27018.59
26-APR-2024,48660,48679.65,48088.25,48201.05,208118242,12146.84
29-APR-2024,48359.9,49473.6,48342.7,49424.05,327134115,15966.76
30-APR-2024,49477.1,49974.75,49249.9,49396.75,402874252,20351.02
02-MAY-2024,49262,49529.35,49123.6,49231.05,291857104,16230.32
03-MAY-2024,49375.05,49607.75,48659.7,48923.55,222964426,12837.75
06-MAY-2024,49174.55,49252.65,48784,48895.3,340187386,15200.24
07-MAY-2024,48965.05,49023.5,48213.75,48285.35,230306618,10179.38
08-MAY-2024,48124.2,48223.05,47851.15,48021.1,286041100,13795.53
09-MAY-2024,47976.35,48258.65,47440.65,47487.9,272914366,13331.32
10-MAY-2024,47555.5,47868.7,47313.35,47421.1,218854712,10013.36
13-MAY-2024,47389.8,47841.6,46983.25,47754.1,220865860,8760.91
14-MAY-2024,47748.85,47937.25,47607.85,47859.45,151958187,6712.08
15-MAY-2024,47923.1,47957.2,47534.5,47687.45,188783717,8763.34
16-MAY-2024,47945.85,48052.9,47340.35,47977.05,219943967,11108.34
17-MAY-2024,47842.95,48188.65,47758.8,48115.65,143821357,8123.45
18-MAY-2024,48197.3,48222.35,48108.15,48199.5,19246577,541.44
21-MAY-2024,47927.1,48259.75,47927.1,48048.2,166750558,9490
22-MAY-2024,48113.9,48114.05,47435.25,47781.95,204867369,11396.04
23-MAY-2024,47899.35,48829.7,47873.15,48768.6,184456258,11162.27
24-MAY-2024,48668,49052.95,48644.8,48971.65,135007612,7585
27-MAY-2024,49105.9,49688.85,49051.25,49281.8,226530645,9390.6
28-MAY-2024,49390.9,49511.15,49043.65,49142.15,155174235,7545.21
29-MAY-2024,48786.7,49022.6,48401.55,48501.35,183590101,10459
30-MAY-2024,48313.6,49044.6,48313.6,48682.35,151037825,9375.71
31-MAY-2024,48895.15,49122.55,48569.05,48983.95,303626980,18069.59
03-JUN-2024,50889.85,51133.2,50092.65,50979.95,453245928,25202.44
04-JUN-2024,50667.05,50667.05,46077.85,46928.6,653139446,33667.79
05-JUN-2024,47486.6,49362.9,46446.8,49054.6,546764854,28348.13
06-JUN-2024,49426.4,49672.75,48906.75,49291.9,250402400,14360.95
07-JUN-2024,49316.95,49943.2,49080.45,49803.2,170266438,10822.3
10-JUN-2024,49808.15,50252.95,49622.75,49780.9,195780219,9140.94
11-JUN-2024,49751.2,49970.3,49530.45,49705.75,128463766,8256.51
12-JUN-2024,49857.45,50233.4,49697.35,49895.1,211727177,11289.28
13-JUN-2024,50179,50186.45,49799.65,49846.7,125683920,7702.9
14-JUN-2024,49993.95,50102.6,49693.35,50002,154981105,7507.39
18-JUN-2024,50194.35,50562.15,49900.2,50440.9,189237872,9756.7
19-JUN-2024,50607.9,51957,50441.75,51398.05,435312462,24722.97
20-JUN-2024,51712.9,51842.2,51281.5,51783.25,235938598,12104.92
21-JUN-2024,51927.3,51934.35,51224.95,51661.45,289444673,23707.52
24-JUN-2024,51280.25,51783.95,51138.9,51703.95,176606126,9257.64
25-JUN-2024,51759.45,52746.5,51747.65,52606,204026702,16867.03
26-JUN-2024,52653.2,52988.3,52373.7,52870.5,214289918,14606.86
27-JUN-2024,52980.3,53180.75,52639,52811.3,332885647,18239.22
28-JUN-2024,52874.95,53030.3,52242.3,52342.25,244632703,11061.51
01-JUL-2024,52351.15,52656.15,52166.05,52574.75,139055322,6894.61
02-JUL-2024,52793.75,52828.45,51996.65,52168.1,194676008,12807.51
03-JUL-2024,52872.3,53256.7,52482.65,53089.25,332402593,22966.82
04-JUL-2024,53357.7,53357.7,52815.9,53103.7,163672180,10607.97
05-JUL-2024,52560.1,52817.85,52290.05,52660.35,199567941,14152.15
08-JUL-2024,52533.1,52710.8,52246.7,52425.8,158002550,8616.21
09-JUL-2024,52390.5,52626.6,52292.95,52568.8,145059721,10180.78
10-JUL-2024,52528.8,52528.8,52075.4,52189.3,228018571,12706.52
11-JUL-2024,52316.9,52400.3,51749.45,52270.65,138311489,9194.75
12-JUL-2024,52272.65,52794.55,52171.15,52278.9,170981035,11552.92
15-JUL-2024,52330.05,52662.25,52154,52455.9,186148129,11913.53
16-JUL-2024,52466.7,52619.05,52331.6,52396.8,158801629,9017.44
18-JUL-2024,52215.05,52782.75,52168.65,52620.7,139447000,9944.84
19-JUL-2024,52531.55,52586.75,52146.3,52265.6,,
22-JUL-2024,52145.6,52427,51874.55,52280.4,175252965,11946
23-JUL-2024,52511,52547.55,51342.65,51778.3,207779807,12924.34
24-JUL-2024,51657.65,51944.65,50784.25,51317,292240419,15833.99
25-JUL-2024,50762.3,51006.1,50559.9,50888.75,188408002,11282.9
26-JUL-2024,50456.1,51398.6,50438.3,51295.95,215682852,12658.89
29-JUL-2024,51546.65,52340.25,51186.95,51406.25,513698890,21256.97
30-JUL-2024,51383.9,51957.75,51260.05,51499.3,235230150,14083.47
31-JUL-2024,51583.45,51663.1,51335.7,51553.4,219033329,12715.44
01-AUG-2024,51672.6,51877.15,51456.2,51564,156350445,8681.22
02-AUG-2024,51172.25,51608.7,51087.85,51350.15,162974928,10058.1
05-AUG-2024,50586.25,50747.55,49719.1,50092.1,257765967,12590.46
06-AUG-2024,50436.9,50688.8,49659.05,49748.3,162841378,10155.42
07-AUG-2024,50286.2,50292.45,49782.2,50119,170992476,10967.38
08-AUG-2024,50051.9,50440.75,49829.6,50156.7,124815472,8096.01
09-AUG-2024,50612.1,50707.75,50386.45,50484.5,120151553,7428.07
12-AUG-2024,50412.6,50830.7,50149.25,50577.95,163540890,9866.78
13-AUG-2024,50395.35,50559.25,49785.1,49831.85,148944173,10481.17
14-AUG-2024,49887.15,49959.25,49654.65,49727.3,137132065,8029.39
16-AUG-2024,50133,50603.4,49806.05,50516.9,130691206,7551.7
19-AUG-2024,50683.55,50728.25,50283.55,50368.35,115323210,6297.93
20-AUG-2024,50417.25,51025.6,50398.6,50803.15,144159443,8269
21-AUG-2024,50666.65,50772.45,50333.35,50685.55,180795768,11682.1
22-AUG-2024,50894.8,51080,50794.45,50985.7,133056374,6539.25
23-AUG-2024,51040.05,51117.85,50856.7,50933.45,88479768,5094.5
26-AUG-2024,51100.65,51317.85,51061.55,51148.1,100320793,6061.78
27-AUG-2024,51214.05,51404.7,50938.1,51278.75,111416843,8773.87
28-AUG-2024,51208.95,51260.75,51033.7,51143.85,128085581,8195.06
29-AUG-2024,51103.75,51368.95,50984.4,51152.75,143629783,10453.64
30-AUG-2024,51437.45,51466.55,51256,51351,478573056,47100.19
02-SEP-2024,51579.5,51579.5,51295.8,51439.55,150152857,8883.89
03-SEP-2024,51479.75,51750.1,51240.05,51689.1,127204798,9647.14
04-SEP-2024,51364.65,51503.55,51259.9,51400.25,159700071,8317.24
05-SEP-2024,51544.25,51636.75,51389.15,51473.05,129639285,7199.02
06-SEP-2024,51200.4,51380.05,50447.3,50576.85,185967220,10456.6
09-SEP-2024,50549.25,51192.75,50369.4,51117.8,172392082,8680.31
10-SEP-2024,51328.3,51366,50958.25,51272.3,119254409,8086
11-SEP-2024,51218.55,51420.15,50947.7,51010,145073630,7944.87
12-SEP-2024,51271,51878.1,51025,51772.4,127898149,9274.62
13-SEP-2024,51952.55,51994.1,51643.95,51938.05,151963664,7602.33
16-SEP-2024,52038.7,52208.7,51921.45,52153.15,93777745,5286.96
17-SEP-2024,52249.05,52284.6,52085.5,52188.65,111430870,6966.69
18-SEP-2024,52177.1,52954.2,52154.55,52750.4,205126988,11297.58
19-SEP-2024,52929.25,53353.3,52847.9,53037.6,164882787,9220.7
20-SEP-2024,53235.8,54066.1,53037.6,53793.2,271883692,24549.83
23-SEP-2024,53917.9,54197.95,53741.4,54105.8,163673628,8951.37
24-SEP-2024,54110.65,54247.7,53904.65,53968.6,192600707,10159.06
25-SEP-2024,53794,54141.3,53792.85,54101.65,184559680,9194.41
26-SEP-2024,54045.85,54467.35,54010.9,54375.35,170534996,9757.27
27-SEP-2024,54338.7,54338.7,53763.2,53834.3,217415265,12546.22
30-SEP-2024,53556.95,53726.4,52926.55,52978.1,190319755,8923.99